Hotel Name,Rating,Rating Description,Reviews,Location,Nearest Landmark,Distance to Landmark,Price,Tax,Final Price,Room Type
The Orchid Hotel Mumbai Vile Parle,4.0,Very Good,5593,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,930 m ,6499.0,780.0,7279.0,Standard
Trident Bandra Kurla,4.6,Excellent,4987,Bandra Kurla Complex ,T1 - Chhatrapati Shivaji International Airport,7.8 km ,8750.0,0.0,8750.0,Deluxe
ITC Grand Central - A Luxury Collection Hotel,4.5,Excellent,2445,South Mumbai ,Cooper hospital,620 m ,14000.0,0.0,14000.0,Deluxe
IRA By Orchid Mumbai ( VITS Mumbai),3.9,Very Good,4707,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,2.3 km ,5099.0,612.0,5711.0,Basic
Trident Nariman Point,4.6,Excellent,5563,Marine Drive ,Queen's Necklace - Marine Drive,470 m ,11250.0,0.0,11250.0,Deluxe
The Lalit Mumbai,4.1,Very Good,6468,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,1.3 km ,11160.0,0.0,11160.0,Standard
"Ginger Mumbai, Andheri East",3.7,Very Good,5340,Andheri East ,T1 - Chhatrapati Shivaji International Airport,3.3 km ,3679.0,0.0,3679.0,Basic
"Taj Santacruz, Mumbai",4.6,Excellent,4563,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,560 m ,9000.0,0.0,9000.0,Deluxe
Hotel Surya Prakash,3.9,Very Good,121,Chembur,,,3939.0,968.0,4907.0,Basic
Hilton Mumbai International Airport,4.2,Very Good,1686,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,1.6 km ,9100.0,0.0,9100.0,Standard
Holiday Inn Mumbai International Airport,4.3,Excellent,2744,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,3.0 km ,6999.0,0.0,6999.0,Standard
goSTOPS Mumbai - Rooms & Dorms,3.9,Very Good,1376,South Mumbai,,,816.0,211.0,1027.0,Basic
The Regale by Tunga,4.1,Very Good,4946,Andheri East ,T2 - Chhatrapati Shivaji International Airport,3.6 km ,4427.0,932.0,5359.0,Standard
"Taj Lands End, Mumbai",4.5,Excellent,4222,Bandra West ,Band Stand,230 m ,11000.0,0.0,11000.0,Deluxe
"Ramada Plaza By Wyndham Palm Grove, Juhu, Mumbai",4.1,Very Good,7206,Juhu ,T1 - Chhatrapati Shivaji International Airport,5.8 km ,7095.0,0.0,7095.0,Standard
Sahara Star,4.2,Very Good,7303,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,760 m ,10400.0,0.0,10400.0,Standard
Qubestay Airport Capsule Hostel | Rooms & Dorms,3.8,Very Good,632,Andheri East ,T2 - Chhatrapati Shivaji International Airport,3.6 km ,1160.0,341.0,1501.0,Basic
Courtyard by Marriott Mumbai International Airport,4.3,Excellent,1829,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,3.3 km ,7500.0,0.0,7500.0,Standard
The Westin Mumbai Garden City,4.4,Excellent,1431,Goregaon ,T1 - Chhatrapati Shivaji International Airport,9.5 km ,9000.0,0.0,9000.0,Standard
JW Marriott Mumbai Juhu,4.4,Excellent,1731,Juhu ,T1 - Chhatrapati Shivaji International Airport,5.5 km ,12500.0,0.0,12500.0,Standard
ITC Maratha - A Luxury Collection Hotel,4.4,Excellent,4680,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,1.4 km ,10030.0,0.0,10030.0,Standard
City Stay,4.6,Excellent,214,Andheri East ,T1 - Chhatrapati Shivaji International Airport,3.7 km ,1229.0,370.0,1599.0,Deluxe
JW Marriott Mumbai Sahar,4.5,Excellent,2139,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,1.2 km ,9500.0,0.0,9500.0,Deluxe
Radisson Mumbai Andheri MIDC,4.3,Excellent,3609,Andheri East ,T2 - Chhatrapati Shivaji International Airport,4.1 km ,7000.0,0.0,7000.0,Standard
Sofitel Mumbai BKC- Luxury Brand by Accor,4.3,Excellent,2276,Bandra Kurla Complex ,T1 - Chhatrapati Shivaji International Airport,7.6 km ,8550.0,0.0,8550.0,Standard
The Leela Mumbai,4.5,Excellent,2861,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,1.7 km ,10500.0,0.0,10500.0,Deluxe
Novotel Mumbai International Airport,4.4,Excellent,102,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,1.8 km ,8299.0,0.0,8299.0,Standard
Radisson Blu Mumbai International Airport,4.4,Excellent,2166,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,2.1 km ,7499.0,0.0,7499.0,Standard
Sun-N-Sand,4.2,Very Good,2353,Juhu ,T1 - Chhatrapati Shivaji International Airport,5.8 km ,8835.0,0.0,8835.0,Standard
The St. Regis Mumbai,4.5,Excellent,1328,South Mumbai ,Tata memorial cancer hospital,640 m ,12500.0,0.0,12500.0,Deluxe
Niranta Airport Transit Hotel & Lounge Terminal 2 Arrivals/Landside,4.0,Very Good,1443,In Mumbai Airport ,,,9303.0,0.0,9303.0,Standard
"Zostel Mumbai
Like a 3",4.0,Very Good,738,Andheri East ,T2 - Chhatrapati Shivaji International Airport,3.6 km ,1342.0,285.0,1627.0,Standard
"President, Mumbai - IHCL SeleQtions",4.4,Excellent,2510,South Mumbai ,Queen's Necklace - Marine Drive,2.4 km ,10400.0,0.0,10400.0,Standard
Novotel Mumbai Juhu Beach,3.6,Very Good,2306,Juhu ,T1 - Chhatrapati Shivaji International Airport,5.6 km ,8500.0,0.0,8500.0,Basic
Ibis Mumbai Airport - An Accor Brand,3.6,Very Good,1990,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,680 m ,6499.0,0.0,6499.0,Basic
"Ginger Mumbai, Andheri (MIDC)",3.4,Good,2721,Jogeshwari East ,T2 - Chhatrapati Shivaji International Airport,5.3 km ,2624.0,0.0,2624.0,Basic
Lakeside Chalet Marriott Executive Apartments,4.1,Very Good,362,Powai ,T2 - Chhatrapati Shivaji International Airport,6.5 km ,9000.0,0.0,9000.0,Standard
"Lemon Tree Hotel, Kalina, Mumbai",3.3,Good,324,Bandra Kurla Complex ,T1 - Chhatrapati Shivaji International Airport,6.7 km ,4975.0,0.0,4975.0,Basic
Ramee Guestline Hotel Juhu,3.6,Very Good,3162,Juhu ,T1 - Chhatrapati Shivaji International Airport,5.7 km ,5275.0,0.0,5275.0,Basic
Ramee Techome,4.0,Very Good,1173,Khar West ,T1 - Chhatrapati Shivaji International Airport,5.2 km ,6231.0,0.0,6231.0,Standard
Shabana,3.5,Very Good,216,Colaba ,Gateway Of India Mumbai,1.1 km ,1304.0,355.0,1659.0,Basic
Hotel Bawa International,4.0,Very Good,1817,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,810 m ,5000.0,0.0,5000.0,Standard
"Ginger Mumbai, Goregaon",3.8,Very Good,478,Goregaon ,T1 - Chhatrapati Shivaji International Airport,8.5 km ,3224.0,0.0,3224.0,Basic
Grand Hyatt Mumbai,4.3,Excellent,1855,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,3.7 km ,10000.0,0.0,10000.0,Standard
Hotel Marine Plaza,4.2,Very Good,1292,Churchgate ,Queen's Necklace - Marine Drive,270 m ,9449.0,0.0,9449.0,Standard
"Lemon Tree Premier, Mumbai International Airport, Mumbai",4.2,Very Good,5001,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,2.3 km ,3566.0,0.0,3566.0,Standard
Hotel Airport International,3.7,Very Good,3139,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,780 m ,3255.0,770.0,4025.0,Basic
Dragonfly Hotel - The Art Hotel,3.5,Very Good,906,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,3.1 km ,3035.0,935.0,3970.0,Basic
Four Seasons Hotel Mumbai,4.4,Excellent,1863,South Mumbai,,,49000.0,0.0,49000.0,Standard
Gateway Inn | Rooms in an Apartment,3.2,Good,356,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,2.3 km ,1839.0,495.0,2334.0,Basic
"The Oberoi, Mumbai",4.7,Excellent,876,Marine Drive ,Queen's Necklace - Marine Drive,420 m ,16750.0,0.0,16750.0,Deluxe
Hotel Jyoti Dwelling,4.2,Very Good,1539,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,3.2 km ,2232.0,456.0,2688.0,Standard
Indie Stays,3.9,Very Good,1406,Bandra Kurla Complex ,T1 - Chhatrapati Shivaji International Airport,5.8 km ,6975.0,0.0,6975.0,Basic
Meluha - The Fern,4.4,Excellent,2189,Powai ,T2 - Chhatrapati Shivaji International Airport,7.2 km ,7109.0,0.0,7109.0,Standard
Afra dormitory,4.8,Excellent,4,Andheri East ,T2 - Chhatrapati Shivaji International Airport,3.3 km ,848.0,228.0,1076.0,Deluxe
