Hotel Name,Rating,Rating Description,Reviews,Location,Nearest Landmark,Distance to Landmark,Price,Tax,Final Price,Room Type,Latitude,Longitude
Hotel Beacon T2,3.2,Good,955,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,3.9 km ,3600.0,851.0,4451.0,Basic,19.0902177,72.86281199999999
Hotel Columbus,3.6,Very Good,1401,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,1.5 km ,2608.0,567.0,3175.0,Basic,19.0902177,72.86281199999999
Sea Green South Hotel,3.9,Very Good,985,Churchgate ,Queen's Necklace - Marine Drive,440 m ,5583.0,0.0,5583.0,Basic,18.9328595,72.82367169999999
Hotel Suba International,4.3,Excellent,683,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,2.0 km ,6700.0,0.0,6700.0,Standard,19.0902177,72.86281199999999
Classic Dormitory,3.8,Very Good,123,Andheri East ,T2 - Chhatrapati Shivaji International Airport,3.5 km ,572.0,145.0,717.0,Basic,19.1173402,72.8805892
The Resort Mumbai,4.2,Very Good,3937,Madh,,,11811.0,0.0,11811.0,Standard,19.173487,72.7958712
The Mirador,3.7,Very Good,384,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,3.2 km ,6750.0,810.0,7560.0,Basic,19.0902177,72.86281199999999
The Sahil Hotel,4.2,Very Good,1587,South Mumbai ,Mumbai Central Bus Terminus,610 m ,4650.0,0.0,4650.0,Standard,18.9686876,72.82368319999999
Avion Hotel,3.3,Good,1154,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,1.6 km ,4205.0,0.0,4205.0,Basic,19.0902177,72.86281199999999
Blossom Dormitory ( For Male and Female),3.6,Very Good,214,Sakinaka ,T2 - Chhatrapati Shivaji International Airport,3.4 km ,678.0,189.0,867.0,Basic,19.1013189,72.89045469999999
Comfort Inn Heritage,3.9,Very Good,963,South Mumbai,,,4743.0,0.0,4743.0,Basic,18.9759848,72.8342425
Hotel Planet Residency,3.8,Very Good,1064,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,2.2 km ,3726.0,0.0,3726.0,Basic,19.1086875,72.8522302
Hotel Kohinoor Elite,4.1,Very Good,2183,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,6.1 km ,7250.0,0.0,7250.0,Standard,19.0806968,72.885526
Residency Hotel Andheri,4.0,Very Good,1866,Andheri East ,T1 - Chhatrapati Shivaji International Airport,3.2 km ,4883.0,0.0,4883.0,Standard,19.1176705,72.8561988
